RecipeId,Title,Description,ImageUrl,Cooktime,Serving
1,Canh Cà Rốt Khoai Tây Bí Đỏ,,https://img-global.cpcdn.com/recipes/2dfa41302fc19341/300x426f0.501287_0.5_1.0q80/canh-ca-r%E1%BB%91t-khoai-tay-bi-d%E1%BB%8F-recipe-main-photo.jpg,30 phút,4 phần ăn
2,Mắm nêm cho Bánh tráng cuốn thịt heo nướng,Xin chào mọi người!!!! Mình đã quay trở lại Cookpad sau một thời gian dài kể từ 2018. Cảm ơn sự hỗ trợ từ Cookpad đã giúp mình có thể tiếp tục sử dụng tài khoảng này với email mới. Mình sẽ bắt đầu từ món chấm đơn...,https://img-global.cpcdn.com/recipes/2101c27a815a3403/300x426f0.4855_0.500274_1.00145q80/m%E1%BA%AFm-nem-cho-banh-trang-cu%E1%BB%91n-th%E1%BB%8Bt-heo-n%C6%B0%E1%BB%9Bng-recipe-main-photo.jpg,30 phút,2 người
3,Tép đồng rang thịt,,https://img-global.cpcdn.com/recipes/f0e50a7e12da0c1e/300x426f0.5_0.5_1.0q80/tep-d%E1%BB%93ng-rang-th%E1%BB%8Bt-recipe-main-photo.jpg,20 phút,3 người
5,Gà nướng sa tế,"Món nướng đơn giản, dùng với cơm, xôi hay các món nước đều ngon",https://img-global.cpcdn.com/recipes/cf22e17e67ff0369/300x426f0.5_0.5_1.0q80/ga-n%C6%B0%E1%BB%9Bng-sa-t%E1%BA%BF-recipe-main-photo.jpg,120 phút,2 người
7,Cơm rong biển thịt nướng,,https://img-global.cpcdn.com/recipes/1c56b8d20670b45d/300x426f0.5_0.5_1.0q80/c%C6%A1m-rong-bi%E1%BB%83n-th%E1%BB%8Bt-n%C6%B0%E1%BB%9Bng-recipe-main-photo.jpg,30 phút,2 người
9,Lòng trắng TRỨNG hấp sữa tươi,"Lòng trắng trứng chứa nhiều protein ... Kết hợp cùng sữa tươi làm thành món hấp thơm ngon, mịn béo thật hấp dẫn",https://img-global.cpcdn.com/recipes/e1679bacb8e534ad/300x426f0.5_0.5_1.0q80/long-tr%E1%BA%AFng-tr%E1%BB%A9ng-h%E1%BA%A5p-s%E1%BB%AFa-t%C6%B0%C6%A1i-recipe-main-photo.jpg,,1 người
10,SALAD rau mầm với trứng,Là một món salad đơn giản nhưng giàu dinh dưỡng ... Kết hợp vị giòn của rau mầm với sự mềm béo của trứng &amp; nước sốt làm món ăn thêm phần hấp dẫn ... Đây là một chế độ ăn lành mạnh healthy &amp; thâm hụt calo giúp hỗ trợ quá trình...,https://img-global.cpcdn.com/recipes/8b58223ffde08ccc/300x426f0.5_0.5_1.0q80/salad-rau-m%E1%BA%A7m-v%E1%BB%9Bi-tr%E1%BB%A9ng-recipe-main-photo.jpg,20 phút,2 người
11,Đậu Hũ Chiên,,https://img-global.cpcdn.com/recipes/d334d19f0fb5638a/300x426f0.5_0.500252_1.0q80/d%E1%BA%ADu-hu-chien-recipe-main-photo.jpg,15 phút,2 phần ăn
12,Canh chua nấm bào ngư,Làm canh chay đơn giản không chánn,https://img-global.cpcdn.com/recipes/52440f84914da6ef/300x426f0.5_0.5_1.0q80/canh-chua-n%E1%BA%A5m-bao-ng%C6%B0-recipe-main-photo.jpg,30 phút,2 người
13,Bắp Mỹ chiên trứng,Món này có thể áp dụng với bắp luộc hoặc bắp nướng còn dư đều hợp nhé,https://img-global.cpcdn.com/recipes/d8ffb3f5ebd1cfb6/300x426f0.5_0.5_1.0q80/b%E1%BA%AFp-m%E1%BB%B9-chien-tr%E1%BB%A9ng-recipe-main-photo.jpg,10 phút,1 người
